truth_condition,p,k,n_items,n_sims,seed,n_valid,n_invalid,auroc_median,auroc_p2.5,auroc_p97.5,minority_median,minority_rate_median,runtime_s,smoke,auroc_exact,exact_available
y=0,0.05,15,650,2000,1455469498,0,2000,,,,0.0,0.0,0.069,False,0.9999967856386905,True
y=0,0.1,3,650,2000,997517278,2000,0,0.863516821636765,0.7970953769228213,0.8902072902583607,18.0,0.027692307692307693,0.649,False,0.8571428571428571,True
y=0,0.1,5,650,2000,3409737898,1993,7,0.9611197511664075,0.8932124871062982,0.9726989079563183,6.0,0.009230769230769232,0.664,False,0.9518279274326554,True
y=0,0.1,7,650,2000,3500314469,1683,317,0.9883720930232558,0.922226502311248,0.9938271604938271,2.0,0.003076923076923077,0.584,False,0.9831204661213151,True
y=0,0.1,9,650,2000,1668566458,889,1111,0.9961479198767335,0.9668721109399075,0.9992295839753467,0.0,0.0,0.342,False,0.9940060764344961,True
y=0,0.1,15,650,2000,2555575535,49,1951,1.0,0.9984591679506933,1.0,0.0,0.0,0.089,False,0.9997249638325798,True
y=0,0.15,3,650,2000,4229666001,2000,0,0.8002836966131749,0.7546200963536891,0.8336200519792082,39.0,0.06,0.662,False,0.7991452991452991,True
y=0,0.15,5,650,2000,902360009,2000,0,0.9078614959497312,0.8538892467289788,0.9370127248601079,17.0,0.026153846153846153,0.677,False,0.9050237143160056,True
y=0,0.15,7,650,2000,3357456516,2000,0,0.9581390820836051,0.8916311919504644,0.9758942457231726,8.0,0.012307692307692308,0.682,False,0.9531199273509982,True
y=0,0.15,9,650,2000,3632725982,1953,47,0.9837461300309598,0.9215440996472029,0.991499227202473,4.0,0.006153846153846154,0.673,False,0.9764741788216436,True
y=0,0.15,15,650,2000,2851504024,663,1337,0.9984591679506933,0.9865562403697997,1.0,0.0,0.0,0.282,False,0.9969306724663891,True
y=0,0.2,3,650,2000,538311315,2000,0,0.748111442589516,0.7080203608188014,0.7836705069728426,67.0,0.10307692307692308,0.668,False,0.7472527472527473,True
y=0,0.2,5,650,2000,2323277918,2000,0,0.8520228183809093,0.8052958979949875,0.8871752863596732,37.0,0.05692307692307692,0.678,False,0.8513091520538074,True
y=0,0.2,7,650,2000,4215349472,2000,0,0.9101259487863875,0.8624238863008487,0.9418818751358309,22.0,0.033846153846153845,0.847,False,0.9086047041217995,True
y=0,0.2,9,650,2000,3875712689,2000,0,0.9462043946016748,0.8950606376440271,0.97109375,13.0,0.02,0.735,False,0.9427536925941177,True
y=0,0.2,15,650,2000,524736731,1874,126,0.9907120743034056,0.9451863676757253,0.9969135802469136,3.0,0.004615384615384616,0.667,False,0.9853342498935628,True
y=0,0.25,3,650,2000,79030663,2000,0,0.7009531277524088,0.6639560673390373,0.7339079276759851,101.0,0.15538461538461537,0.696,False,0.7,True
y=0,0.25,5,650,2000,4025536924,2000,0,0.7943366205405078,0.7544084148154937,0.8294362503520134,67.0,0.10307692307692308,0.686,False,0.7941176470588236,True
y=0,0.25,7,650,2000,2800124417,2000,0,0.8541882715464113,0.8114021676091053,0.888379373369946,46.0,0.07076923076923076,0.685,False,0.852757122874181,True
y=0,0.25,9,650,2000,3801985511,2000,0,0.8937679757891044,0.8476151866438278,0.9272663355407277,32.0,0.04923076923076923,0.696,False,0.8926481571150704,True
y=0,0.25,15,650,2000,2022015382,2000,0,0.960460193137906,0.9160170004486652,0.9820872274143302,11.0,0.016923076923076923,0.705,False,0.9563256217777882,True
y=0,0.3,3,650,2000,2691160290,2000,0,0.6557690130295429,0.6216256581638657,0.6926792966734565,140.0,0.2153846153846154,0.679,False,0.65625,True
y=0,0.3,5,650,2000,1783598024,2000,0,0.7363441054475982,0.6974536061724254,0.7705251920639012,106.0,0.16307692307692306,0.683,False,0.735452176745196,True
y=0,0.3,7,650,2000,4111150581,2000,0,0.789691261521305,0.7486230574544719,0.8271469447256365,82.0,0.12615384615384614,0.691,False,0.7889707336365435,True
